"Month","Monthly U.S. female (16-19 years) unemployment figures (thousands) 1948-1981"
"1948-01",116
"1948-02",153
"1948-03",142
"1948-04",139
"1948-05",93
"1948-06",323
"1948-07",256
"1948-08",152
"1948-09",138
"1948-10",90
"1948-11",128
"1948-12",104
"1949-01",149
"1949-02",180
"1949-03",169
"1949-04",171
"1949-05",193
"1949-06",388
"1949-07",356
"1949-08",230
"1949-09",271
"1949-10",190
"1949-11",192
"1949-12",191
"1950-01",187
"1950-02",210
"1950-03",196
"1950-04",122
"1950-05",178
"1950-06",344
"1950-07",291
"1950-08",179
"1950-09",178
"1950-10",136
"1950-11",155
"1950-12",169
"1951-01",125
"1951-02",130
"1951-03",142
"1951-04",113
"1951-05",106
"1951-06",264
"1951-07",218
"1951-08",154
"1951-09",152
"1951-10",100
"1951-11",136
"1951-12",98
"1952-01",132
"1952-02",106
"1952-03",100
"1952-04",88
"1952-05",154
"1952-06",264
"1952-07",216
"1952-08",156
"1952-09",136
"1952-10",126
"1952-11",116
"1952-12",85
"1953-01",108
"1953-02",118
"1953-03",90
"1953-04",108
"1953-05",98
"1953-06",206
"1953-07",158
"1953-08",110
"1953-09",108
"1953-10",116
"1953-11",110
"1953-12",145
"1954-01",186
"1954-02",192
"1954-03",168
"1954-04",179
"1954-05",197
"1954-06",313
"1954-07",250
"1954-08",194
"1954-09",194
"1954-10",167
"1954-11",129
"1954-12",125
"1955-01",133
"1955-02",144
"1955-03",136
"1955-04",138
"1955-05",180
"1955-06",297
"1955-07",215
"1955-08",189
"1955-09",178
"1955-10",137
"1955-11",207
"1955-12",157
"1956-01",155
"1956-02",183
"1956-03",196
"1956-04",159
"1956-05",235
"1956-06",463
"1956-07",299
"1956-08",180
"1956-09",172
"1956-10",146
"1956-11",191
"1956-12",124
"1957-01",143
"1957-02",173
"1957-03",146
"1957-04",149
"1957-05",227
"1957-06",391
"1957-07",293
"1957-08",200
"1957-09",161
"1957-10",131
"1957-11",175
"1957-12",173
"1958-01",188
"1958-02",195
